11
0 5 1 3 6 7 8 9
1 2 5 0
2 1 10
3 0 5 4
4 3
5 1 0 3
6 0
7 0
8 0
9 0
10 2

0  China      Beijing    1306313800	 			
1  USA        Washington  295734100 		
2  Indonesia  Jakarta     241973900		
3  Brazil     Brasilia    186112800		
4  Pakistan   Islamabad   162419900 		
5  Bangladesh Dhaka       144319600		  		
6  Nigeria    Abuja       128772000
7  Japan      Tokyo       127417200
8  Australia  Canberra     20090400
9  Austria    Vienna 	    8184700  	
10  Austriia    Viienna        8184700     
